n,delta,partial,r
3,0.0007069285716854168,0.020433246895659937,0.0035394294641393816
5,6.508144729799881e-07,1.8811310424140874e-05,2.9495245534494847e-05
10,1.199040866595169e-14,3.4657388379016844e-13,1.6625656979671066e-11
20,3.977262963417161e-12,1.1495984086017587e-10,1.2685005670098382e-26
30,2.2686834633134367e-09,6.557461558451904e-08,7.696846969399901e-44
40,1.3882068516934964e-06,4.0125091104002895e-05,1.8475905792540893e-62
50,0.001051876765296278,0.030403719003553712,3.8912547050049396e-82
60,0.9036118053631368,26.11823012443518,1.16126160290246e-102
70,581.4235239450752,16805.616425135995,6.768172354887522e-124
80,762870.0298649983,22050193.32061684,9.696658395510673e-146
90,539678597.1110313,15599010226.42536,4.060296030039936e-168
100,714258337729.9037,20645108355605.39,5.687349215376945e-191
